category	specific	generic
/s/sauna	sports and leisure	indoor
/s/squash_court	sports and leisure	indoor
/s/swimming_pool/indoor	sports and leisure	indoor
/t/tennis_court/indoor	sports and leisure	indoor
/v/volleyball_court/indoor	sports and leisure	indoor
/w/wrestling_ring/indoor	sports and leisure	indoor
/a/apse/indoor	cultural (art, education, religion, etc.)	indoor
/a/aquarium	cultural (art, education, religion, etc.)	indoor
/a/archive	cultural (art, education, religion, etc.)	indoor
/a/art_gallery	cultural (art, education, religion, etc.)	indoor
/a/art_school	cultural (art, education, religion, etc.)	indoor
/a/art_studio	cultural (art, education, religion, etc.)	indoor
/a/auditorium	cultural (art, education, religion, etc.)	indoor
/b/beauty_salon	cultural (art, education, religion, etc.)	indoor
/b/booth/indoor	cultural (art, education, religion, etc.)	indoor
/b/burial_chamber	cultural (art, education, religion, etc.)	indoor
/c/catacomb	cultural (art, education, religion, etc.)	indoor
/c/cathedral/indoor	cultural (art, education, religion, etc.)	indoor
/c/church/indoor	cultural (art, education, religion, etc.)	indoor
/c/classroom	cultural (art, education, religion, etc.)	indoor
/c/cloister/indoor	cultural (art, education, religion, etc.)	indoor
/c/conference_center	cultural (art, education, religion, etc.)	indoor
/c/courtroom	cultural (art, education, religion, etc.)	indoor
/j/jail/indoor	cultural (art, education, religion, etc.)	indoor
/j/jail_cell	cultural (art, education, religion, etc.)	indoor
/k/kindergarden_classroom	cultural (art, education, religion, etc.)	indoor
/l/lecture_room	cultural (art, education, religion, etc.)	indoor
/l/library/indoor	cultural (art, education, religion, etc.)	indoor
/m/mosque/indoor	cultural (art, education, religion, etc.)	indoor
/m/movie_theater/indoor	cultural (art, education, religion, etc.)	indoor
/m/museum/indoor	cultural (art, education, religion, etc.)	indoor
/m/music_store	cultural (art, education, religion, etc.)	indoor
/m/music_studio	cultural (art, education, religion, etc.)	indoor
/p/podium/indoor	cultural (art, education, religion, etc.)	indoor
/p/pulpit	cultural (art, education, religion, etc.)	indoor
/s/stage/indoor	cultural (art, education, religion, etc.)	indoor
/s/synagogue/indoor	cultural (art, education, religion, etc.)	indoor
/t/television_studio	cultural (art, education, religion, etc.)	indoor
/t/theater/indoor_procenium	cultural (art, education, religion, etc.)	indoor
/t/theater/indoor_seats	cultural (art, education, religion, etc.)	indoor
/t/throne_room	cultural (art, education, religion, etc.)	indoor
/t/ticket_booth	cultural (art, education, religion, etc.)	indoor
/p/promenade_deck	transportation (roads, parking, bridges, boats, airports, etc.)	indoor
/t/ticket_booth	commercial buildings, shops, markets, cities, and towns	indoor
/b/bayou	water, ice, snow	outdoor, natural
/b/beach	water, ice, snow	outdoor, natural
/b/boardwalk	water, ice, snow	outdoor, natural
/b/boathouse	water, ice, snow	outdoor, natural
/c/canal/natural	water, ice, snow	outdoor, natural
/c/coast	water, ice, snow	outdoor, natural
/c/creek	water, ice, snow	outdoor, natural
/c/crevasse	water, ice, snow	outdoor, natural
/d/dam	water, ice, snow	outdoor, natural
/d/dock	water, ice, snow	outdoor, natural
/f/fishpond	water, ice, snow	outdoor, natural
/h/hot_spring	water, ice, snow	outdoor, natural
/i/ice_floe	water, ice, snow	outdoor, natural
/i/ice_shelf	water, ice, snow	outdoor, natural
/i/iceberg	water, ice, snow	outdoor, natural
/i/igloo	water, ice, snow	outdoor, natural
/i/islet	water, ice, snow	outdoor, natural
/l/lake/natural	water, ice, snow	outdoor, natural
/m/marsh	water, ice, snow	outdoor, natural
/m/mountain_snowy	water, ice, snow	outdoor, natural
/o/ocean	water, ice, snow	outdoor, natural
/p/pond	water, ice, snow	outdoor, natural
/r/raft	water, ice, snow	outdoor, natural
/r/river	water, ice, snow	outdoor, natural
/s/sandbar	water, ice, snow	outdoor, natural
/s/sea_cliff	water, ice, snow	outdoor, natural
/s/ski_slope	water, ice, snow	outdoor, natural
/s/snowfield	water, ice, snow	outdoor, natural
/s/swamp	water, ice, snow	outdoor, natural
/u/underwater/coral_reef	water, ice, snow	outdoor, natural
/w/waterfall/block	water, ice, snow	outdoor, natural
/w/waterfall/fan	water, ice, snow	outdoor, natural
/w/waterfall/plunge	water, ice, snow	outdoor, natural
/w/watering_hole	water, ice, snow	outdoor, natural
/w/wave	water, ice, snow	outdoor, natural
/b/badlands	mountains, hills, desert, sky	outdoor, natural
/b/butte	mountains, hills, desert, sky	outdoor, natural
/c/canyon	mountains, hills, desert, sky	outdoor, natural
/c/cavern/indoor	mountains, hills, desert, sky	outdoor, natural
/c/cliff	mountains, hills, desert, sky	outdoor, natural
/d/desert/sand	mountains, hills, desert, sky	outdoor, natural
/d/desert/vegetation	mountains, hills, desert, sky	outdoor, natural
/h/hill	mountains, hills, desert, sky	outdoor, natural
/m/mountain	mountains, hills, desert, sky	outdoor, natural
/m/mountain_snowy	mountains, hills, desert, sky	outdoor, natural
/r/rock_arch	mountains, hills, desert, sky	outdoor, natural
/s/sky	mountains, hills, desert, sky	outdoor, natural
/v/valley	mountains, hills, desert, sky	outdoor, natural
/v/volcano	mountains, hills, desert, sky	outdoor, natural
/b/bamboo_forest	forest, field, jungle	outdoor, natural
/b/barn	forest, field, jungle	outdoor, natural
/b/bayou	forest, field, jungle	outdoor, natural
/b/boardwalk	forest, field, jungle	outdoor, natural
/b/botanical_garden	forest, field, jungle	outdoor, natural
/c/corn_field	forest, field, jungle	outdoor, natural
/c/corral	forest, field, jungle	outdoor, natural
/c/cottage_garden	forest, field, jungle	outdoor, natural
/f/fairway	forest, field, jungle	outdoor, natural
/f/field/cultivated	forest, field, jungle	outdoor, natural
/f/field/wild	forest, field, jungle	outdoor, natural
/f/forest/broadleaf	forest, field, jungle	outdoor, natural
/f/forest/needleleaf	forest, field, jungle	outdoor, natural
/f/forest_path	forest, field, jungle	outdoor, natural
/f/forest_road	forest, field, jungle	outdoor, natural
/f/formal_garden	forest, field, jungle	outdoor, natural
/g/golf_course	forest, field, jungle	outdoor, natural
/h/hayfield	forest, field, jungle	outdoor, natural
/h/herb_garden	forest, field, jungle	outdoor, natural
/m/marsh	forest, field, jungle	outdoor, natural
/o/orchard	forest, field, jungle	outdoor, natural
/o/outhouse/outdoor	forest, field, jungle	outdoor, natural
/p/park	forest, field, jungle	outdoor, natural
/p/pasture	forest, field, jungle	outdoor, natural
/p/picnic_area	forest, field, jungle	outdoor, natural
/p/playground	forest, field, jungle	outdoor, natural
/p/putting_green	forest, field, jungle	outdoor, natural
/r/rainforest	forest, field, jungle	outdoor, natural
/r/rice_paddy	forest, field, jungle	outdoor, natural
/s/swamp	forest, field, jungle	outdoor, natural
/t/topiary_garden	forest, field, jungle	outdoor, natural
/t/tree_farm	forest, field, jungle	outdoor, natural
/t/tree_house	forest, field, jungle	outdoor, natural
/v/vegetable_garden	forest, field, jungle	outdoor, natural
/v/vineyard	forest, field, jungle	outdoor, natural
/w/wheat_field	forest, field, jungle	outdoor, natural
/w/wind_farm	forest, field, jungle	outdoor, natural
/y/yard	forest, field, jungle	outdoor, natural
/a/aqueduct	man-made elements	outdoor, natural
/b/barn	man-made elements	outdoor, natural
/b/bayou	man-made elements	outdoor, natural
/b/boardwalk	man-made elements	outdoor, natural
/b/boathouse	man-made elements	outdoor, natural
/b/botanical_garden	man-made elements	outdoor, natural
/c/corral	man-made elements	outdoor, natural
/c/cottage_garden	man-made elements	outdoor, natural
/d/dam	man-made elements	outdoor, natural
/d/dock	man-made elements	outdoor, natural
/f/fairway	man-made elements	outdoor, natural
/f/field/cultivated	man-made elements	outdoor, natural
/f/fishpond	man-made elements	outdoor, natural
/f/forest_road	man-made elements	outdoor, natural
/f/formal_garden	man-made elements	outdoor, natural
/g/golf_course	man-made elements	outdoor, natural
/h/hayfield	man-made elements	outdoor, natural
/h/herb_garden	man-made elements	outdoor, natural
/h/highway	man-made elements	outdoor, natural
/i/igloo	man-made elements	outdoor, natural
/o/outhouse/outdoor	man-made elements	outdoor, natural
/p/park	man-made elements	outdoor, natural
/p/picnic_area	man-made elements	outdoor, natural
/p/playground	man-made elements	outdoor, natural
/p/putting_green	man-made elements	outdoor, natural
/r/raft	man-made elements	outdoor, natural
/r/rice_paddy	man-made elements	outdoor, natural
/r/rope_bridge	man-made elements	outdoor, natural
/r/ruin	man-made elements	outdoor, natural
/s/ski_slope	man-made elements	outdoor, natural
/t/tent/outdoor	man-made elements	outdoor, natural
/t/topiary_garden	man-made elements	outdoor, natural
/t/tree_house	man-made elements	outdoor, natural
/t/trench	man-made elements	outdoor, natural
/v/vegetable_garden	man-made elements	outdoor, natural
/v/viaduct	man-made elements	outdoor, natural
/v/vineyard	man-made elements	outdoor, natural
/w/wind_farm	man-made elements	outdoor, natural
/y/yard	man-made elements	outdoor, natural
/b/bayou	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, natural
/b/boathouse	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, natural
/d/dock	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, natural
/f/forest_road	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, natural
/h/highway	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, natural
/a/aqueduct	cultural or historical building/place	outdoor, natural
/r/ruin	cultural or historical building/place	outdoor, natural
/v/viaduct	cultural or historical building/place	outdoor, natural
/b/boardwalk	sports fields, parks, leisure spaces	outdoor, natural
/f/fairway	sports fields, parks, leisure spaces	outdoor, natural
/f/fishpond	sports fields, parks, leisure spaces	outdoor, natural
/f/forest_road	sports fields, parks, leisure spaces	outdoor, natural
/g/golf_course	sports fields, parks, leisure spaces	outdoor, natural
/i/igloo	sports fields, parks, leisure spaces	outdoor, natural
/p/park	sports fields, parks, leisure spaces	outdoor, natural
/p/picnic_area	sports fields, parks, leisure spaces	outdoor, natural
/p/playground	sports fields, parks, leisure spaces	outdoor, natural
/p/putting_green	sports fields, parks, leisure spaces	outdoor, natural
/r/rope_bridge	sports fields, parks, leisure spaces	outdoor, natural
/s/ski_slope	sports fields, parks, leisure spaces	outdoor, natural
/t/tent/outdoor	sports fields, parks, leisure spaces	outdoor, natural
/t/tree_house	sports fields, parks, leisure spaces	outdoor, natural
/d/dam	industrial and construction	outdoor, natural
/t/trench	industrial and construction	outdoor, natural
/w/wind_farm	industrial and construction	outdoor, natural
/b/barn	houses, cabins, gardens, and farms	outdoor, natural
/b/botanical_garden	houses, cabins, gardens, and farms	outdoor, natural
/c/corral	houses, cabins, gardens, and farms	outdoor, natural
/c/cottage_garden	houses, cabins, gardens, and farms	outdoor, natural
/f/field/cultivated	houses, cabins, gardens, and farms	outdoor, natural
/f/formal_garden	houses, cabins, gardens, and farms	outdoor, natural
/h/hayfield	houses, cabins, gardens, and farms	outdoor, natural
/h/herb_garden	houses, cabins, gardens, and farms	outdoor, natural
/o/outhouse/outdoor	houses, cabins, gardens, and farms	outdoor, natural
/r/rice_paddy	houses, cabins, gardens, and farms	outdoor, natural
/t/topiary_garden	houses, cabins, gardens, and farms	outdoor, natural
/t/tree_house	houses, cabins, gardens, and farms	outdoor, natural
/v/vegetable_garden	houses, cabins, gardens, and farms	outdoor, natural
/v/vineyard	houses, cabins, gardens, and farms	outdoor, natural
/y/yard	houses, cabins, gardens, and farms	outdoor, natural
/t/ticket_booth	shopping and dining	outdoor, man-made
/t/ticket_booth	workplace (office building, factory, lab, etc.)	outdoor, man-made
/p/promenade_deck	transportation (vehicle interiors, stations, etc.)	outdoor, man-made
/t/ticket_booth	cultural (art, education, religion, etc.)	outdoor, man-made
/b/bayou	water, ice, snow	outdoor, man-made
/b/boardwalk	water, ice, snow	outdoor, man-made
/b/boathouse	water, ice, snow	outdoor, man-made
/d/dam	water, ice, snow	outdoor, man-made
/d/dock	water, ice, snow	outdoor, man-made
/f/fishpond	water, ice, snow	outdoor, man-made
/i/igloo	water, ice, snow	outdoor, man-made
/s/ski_slope	water, ice, snow	outdoor, man-made
/b/barn	forest, field, jungle	outdoor, man-made
/b/bayou	forest, field, jungle	outdoor, man-made
/b/boardwalk	forest, field, jungle	outdoor, man-made
/b/botanical_garden	forest, field, jungle	outdoor, man-made
/c/corral	forest, field, jungle	outdoor, man-made
/c/cottage_garden	forest, field, jungle	outdoor, man-made
/f/fairway	forest, field, jungle	outdoor, man-made
/f/field/cultivated	forest, field, jungle	outdoor, man-made
/f/forest_road	forest, field, jungle	outdoor, man-made
/f/formal_garden	forest, field, jungle	outdoor, man-made
/g/golf_course	forest, field, jungle	outdoor, man-made
/h/hayfield	forest, field, jungle	outdoor, man-made
/h/herb_garden	forest, field, jungle	outdoor, man-made
/o/outhouse/outdoor	forest, field, jungle	outdoor, man-made
/p/park	forest, field, jungle	outdoor, man-made
/p/picnic_area	forest, field, jungle	outdoor, man-made
/p/playground	forest, field, jungle	outdoor, man-made
/p/putting_green	forest, field, jungle	outdoor, man-made
/r/rice_paddy	forest, field, jungle	outdoor, man-made
/t/topiary_garden	forest, field, jungle	outdoor, man-made
/t/tree_house	forest, field, jungle	outdoor, man-made
/v/vegetable_garden	forest, field, jungle	outdoor, man-made
/v/vineyard	forest, field, jungle	outdoor, man-made
/w/wind_farm	forest, field, jungle	outdoor, man-made
/y/yard	forest, field, jungle	outdoor, man-made
/a/aqueduct	man-made elements	outdoor, man-made
/b/barn	man-made elements	outdoor, man-made
/b/bayou	man-made elements	outdoor, man-made
/b/boardwalk	man-made elements	outdoor, man-made
/b/boathouse	man-made elements	outdoor, man-made
/b/botanical_garden	man-made elements	outdoor, man-made
/c/corral	man-made elements	outdoor, man-made
/c/cottage_garden	man-made elements	outdoor, man-made
/d/dam	man-made elements	outdoor, man-made
/d/dock	man-made elements	outdoor, man-made
/f/fairway	man-made elements	outdoor, man-made
/f/field/cultivated	man-made elements	outdoor, man-made
/f/fishpond	man-made elements	outdoor, man-made
/f/forest_road	man-made elements	outdoor, man-made
/f/formal_garden	man-made elements	outdoor, man-made
/g/golf_course	man-made elements	outdoor, man-made
/h/hayfield	man-made elements	outdoor, man-made
/h/herb_garden	man-made elements	outdoor, man-made
/h/highway	man-made elements	outdoor, man-made
/i/igloo	man-made elements	outdoor, man-made
/o/outhouse/outdoor	man-made elements	outdoor, man-made
/p/park	man-made elements	outdoor, man-made
/p/picnic_area	man-made elements	outdoor, man-made
/p/playground	man-made elements	outdoor, man-made
/p/putting_green	man-made elements	outdoor, man-made
/r/rice_paddy	man-made elements	outdoor, man-made
/r/rope_bridge	man-made elements	outdoor, man-made
/r/ruin	man-made elements	outdoor, man-made
/s/ski_slope	man-made elements	outdoor, man-made
/t/tent/outdoor	man-made elements	outdoor, man-made
/t/topiary_garden	man-made elements	outdoor, man-made
/t/tree_house	man-made elements	outdoor, man-made
/t/trench	man-made elements	outdoor, man-made
/v/vegetable_garden	man-made elements	outdoor, man-made
/v/viaduct	man-made elements	outdoor, man-made
/v/vineyard	man-made elements	outdoor, man-made
/w/wind_farm	man-made elements	outdoor, man-made
/y/yard	man-made elements	outdoor, man-made
/a/arrival_gate/outdoor	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/b/bayou	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/b/boat_deck	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/b/boathouse	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/b/bridge	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/c/canal/urban	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/c/control_tower/outdoor	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/c/covered_bridge/exterior	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/c/crosswalk	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/d/dock	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/f/forest_road	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/g/gas_station	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/h/hangar/outdoor	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/h/harbor	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/h/heliport	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/h/highway	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/l/landing_deck	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/l/lido_deck/outdoor	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/l/lift_bridge	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/l/lock_chamber	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/p/parking_garage/outdoor	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/p/parking_lot	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/p/promenade_deck	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/r/railroad_track	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/r/runway	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/t/toll_plaza	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/t/train_railway	transportation (roads, parking, bridges, boats, airports, etc.)	outdoor, man-made
/a/abbey	cultural or historical building/place	outdoor, man-made
/a/amphitheater	cultural or historical building/place	outdoor, man-made
/a/aqueduct	cultural or historical building/place	outdoor, man-made
/a/arch	cultural or historical building/place	outdoor, man-made
/b/basilica	cultural or historical building/place	outdoor, man-made
/b/bazaar/outdoor	cultural or historical building/place	outdoor, man-made
/c/campus	cultural or historical building/place	outdoor, man-made
/c/castle	cultural or historical building/place	outdoor, man-made
/c/cathedral/outdoor	cultural or historical building/place	outdoor, man-made
/c/cemetery	cultural or historical building/place	outdoor, man-made
/c/church/outdoor	cultural or historical building/place	outdoor, man-made
/c/courthouse	cultural or historical building/place	outdoor, man-made
/c/courtyard	cultural or historical building/place	outdoor, man-made
/f/fountain	cultural or historical building/place	outdoor, man-made
/k/kasbah	cultural or historical building/place	outdoor, man-made
/l/labyrinth/outdoor	cultural or historical building/place	outdoor, man-made
/l/library/outdoor	cultural or historical building/place	outdoor, man-made
/l/lighthouse	cultural or historical building/place	outdoor, man-made
/m/mausoleum	cultural or historical building/place	outdoor, man-made
/m/medina	cultural or historical building/place	outdoor, man-made
/m/moat/water	cultural or historical building/place	outdoor, man-made
/m/monastery/outdoor	cultural or historical building/place	outdoor, man-made
/m/mosque/outdoor	cultural or historical building/place	outdoor, man-made
/o/oast_house	cultural or historical building/place	outdoor, man-made
/o/observatory/outdoor	cultural or historical building/place	outdoor, man-made
/p/pagoda	cultural or historical building/place	outdoor, man-made
/p/palace	cultural or historical building/place	outdoor, man-made
/p/planetarium/outdoor	cultural or historical building/place	outdoor, man-made
/p/plaza	cultural or historical building/place	outdoor, man-made
/p/podium/outdoor	cultural or historical building/place	outdoor, man-made
/r/ruin	cultural or historical building/place	outdoor, man-made
/s/synagogue/outdoor	cultural or historical building/place	outdoor, man-made
/t/temple/east_asia	cultural or historical building/place	outdoor, man-made
/t/temple/south_asia	cultural or historical building/place	outdoor, man-made
/t/tower	cultural or historical building/place	outdoor, man-made
/v/viaduct	cultural or historical building/place	outdoor, man-made
/w/windmill	cultural or historical building/place	outdoor, man-made
/a/amusement_park	sports fields, parks, leisure spaces	outdoor, man-made
/a/athletic_field/outdoor	sports fields, parks, leisure spaces	outdoor, man-made
/b/baseball_field	sports fields, parks, leisure spaces	outdoor, man-made
/b/basketball_court/outdoor	sports fields, parks, leisure spaces	outdoor, man-made
/b/batters_box	sports fields, parks, leisure spaces	outdoor, man-made
/b/boardwalk	sports fields, parks, leisure spaces	outdoor, man-made
/b/bullring	sports fields, parks, leisure spaces	outdoor, man-made
/c/campsite	sports fields, parks, leisure spaces	outdoor, man-made
/c/carrousel	sports fields, parks, leisure spaces	outdoor, man-made
/d/driving_range/outdoor	sports fields, parks, leisure spaces	outdoor, man-made
/f/fairway	sports fields, parks, leisure spaces	outdoor, man-made
/f/fishpond	sports fields, parks, leisure spaces	outdoor, man-made
/f/forest_road	sports fields, parks, leisure spaces	outdoor, man-made
/g/gazebo/exterior	sports fields, parks, leisure spaces	outdoor, man-made
